Time RV eRV
50385.5987763698 -18.4160717245468 9.1
50323.62674738 -22.1033761286194 8.69
50358.6601261101 -30.1801459297379 8.57
50386.5330352299 -24.6207857646643 8.73
50386.5412287801 -28.9208271073034 9.14
50359.59581652 -23.9848671931021 8.17
50359.6074740901 -32.3849260143309 10.21
50551.9102433501 -24.7552384280526 8.1
50551.9198023598 -43.8552866604598 9.26
50689.6790237101 -20.650385764309 12.81
50689.6905191601 -14.8504437675232 13.5
50818.5397890001 -15.0005854503787 9.39
49683.61466476 -4.97403278069424 11.51
50417.5899451799 -26.3774912836328 10.62
50417.5981737999 -30.9775328032289 11.49
48929.56222675 -5.76926988511657 6.87
50720.6391008198 -21.5066026886193 7.17
50733.64950334 -5.17224997555717 11.09
50720.6505917702 -25.1066606691234 9.37
50733.6610066998 -13.2723080186761 10.61
50330.7229210502 -21.8391816733237 9.74
50709.5669929702 -15.7507355592237 10.96
50709.5785048502 -17.1507936453363 11.68
50709.58997506 -19.1508515211902 10.35
49548.8013417898 -25.393797954558 7.13
49548.8163296101 -22.0938735794124 7.51
49906.8322035801 -17.6003335079831 9.64
50703.6799186999 -23.4210308323178 8.01
50703.6913639801 -19.7210885823784 8.79
50703.7028134302 -25.6211463534856 10.74
50229.84097115 -20.0301561991494 7.99
49358.52087308 -22.5336895713645 9.69
49492.87102126 -33.511587331581 8.81
49492.8861348098 -34.2116635908281 8.79
50348.77344129 9.96973984699572 12.92
50348.7802492301 -15.2302945041976 17.34
50348.7874821499 10.5696690002733 15.48
50016.6043499298 -26.754216723984 6.69
50418.5971581801 -6.18257343238024 17.24
50016.61951963 -31.1542932665564 9.53
50325.7986279698 -33.7143349031874 19.84
49907.78726367 8.09484749401055 12.22
49907.8137028399 -23.5052859115279 9.02
50301.8032077998 -24.9932599225581 9.21
50349.6434047301 -14.834649774273 11.01
50349.65336804 -24.8347000466808 12.53
50751.6404198199 -6.66302770934671 9.04
50751.6518564601 -4.96308541581262 8.68
50751.66330144 -14.4631431643621 8.57
49309.57951746 -43.9867435440955 7.81
50570.9068030398 -22.8510903898099 11.9
48972.54953438 -54.486173252584 11.05
50086.5336688901 -21.0070628453974 13.59
50648.6595971198 -37.6434118399263 9.73
50648.67109315 -29.8434698460608 9.91
50648.8175746799 -32.0442089557821 6.75
50357.60823842 -32.7748383635092 8.76
50357.6164212199 -22.0748796518979 9.85
50721.7592968498 -31.8122549219026 11.95
50721.7708086199 -23.7123130074608 8.92
50313.63891323 -32.4529799772852 5.83
50313.6503379899 -25.0530376238084 5.22
50313.9275904498 -15.3544365714355 7.67
50753.5244463198 -13.572534043065 9.77
50753.5358925401 -9.57259179787387 8.34
50314.7254980402 -28.7584626166309 7.03
50314.9154021102 -25.9594208258032 7.77
49108.91386523 -48.3742340825058 9.97
49178.8889126498 -46.827310938461 13.51
49245.7837219499 -27.1648456714608 10.11
49601.6507123499 -39.1604628627604 7.34
49601.6659325501 -41.8605396601465 8.17
50230.8952743099 -21.2354759532398 7.51
