Time RV eRV
51748.7904786002 -8.23440132970414 8.62
51748.7946684998 -6.24442247090069 8.23
51748.7988467999 -4.68444355357597 8.06
51748.8030482 -4.20446475280293 8.55
51777.7684729998 -19.8106171527914 7.91
51777.7720030001 -17.3206349643058 9.04
51777.7755215 -14.6106527177906 8.42
51833.6802210999 -15.5027340638673 6.66
51833.6837046999 -12.7827516412537 7.08
51833.6871882002 -16.1927692181419 6.05
51839.6763694999 -21.2929891519755 8.49
51839.6791586 -17.4830032250831 8.63
51839.6819594 -17.3130173572314 7.19
52103.9179217 -20.3362869474621 8.69
52103.9220769 -19.3763079135787 10.02
52103.9262436 -15.3963289377173 8.67
52159.7660956001 -19.6480830787769 5.51
52159.7737341998 -22.5781216212702 6.52
52159.7813726999 -20.9581601632577 6.45
52160.6615078002 -19.6826011082171 10.78
52160.6639267001 -19.4326133133904 9.44
52160.6663571 -18.5226255765934 10.3
52358.9004262998 -15.7628658690581 8.42
52358.9045932 -13.5928868942119 7.33
52358.9087601001 -12.4829079193634 7.91
52534.6544009 -13.4796771405329 6.06
52534.6571900998 -19.5796912141468 6.35
52534.6599793001 -13.2597052877648 7.31
52535.6974820001 -17.0549402708756 7.74
52535.7051205002 -14.4849788128661 6.98
52861.7527640001 -10.010134923561 7.34
52861.7569422 -8.64015600572617 7.74
52861.7611087998 -8.30017702936626 7.84
52862.5978705999 -13.154399123332 7.87
52862.6021644999 -14.134420789297 9.34
52862.6063311002 -15.2544418129313 8.54
52921.6463914998 -5.08234341743086 7.61
52921.6491806 -3.05235749054457 7.96
52921.6519697998 -9.61237156416488 8.65
53260.6708062999 -9.89297712022008 7.51
53260.6735955002 -11.0029911938384 8.06
53260.6763963001 -15.0030053259849 6.25
53305.6374054998 -15.5798675054922 8.36
53305.6402524998 -17.4798818707546 9.2
53305.6430878998 -15.8598961774818 9.84
53305.6459233998 -18.1799104847164 10.1
53305.6487472001 -11.79992473292 9.59
53305.6515595 -14.7099389230888 9.27
53690.5880582999 -11.6322336945959 10
53690.5909283999 -9.04224817641031 10.18
53690.5937755001 -9.36226254217615 8.9
53872.9241256998 -4.33225658530965 8.44
53872.9269730998 -3.11227095258778 8.73
53872.9298204998 -2.74228531986445 9.74
